,output_testInput,output_MR,MR_checker
33230,-38,-114,Violated
33231,-45,-135,Violated
33232,-30,-90,Violated
33233,-39,-117,Not-violated
33234,2,6,Violated
33235,-1,-3,Violated
33236,91,273,Not-violated
33237,-18,-54,Not-violated
33238,-26,-78,Not-violated
33239,-15,-45,Violated
33240,43,129,Not-violated
33241,-26,-78,Not-violated
33242,-8,-24,Violated
33243,-14,-42,Not-violated
33244,-34,-102,Violated
33245,22,66,Not-violated
33246,-46,-138,Violated
33247,-8,-24,Not-violated
33248,-33,-99,Violated
33249,2,6,Not-violated
33250,64,192,Not-violated
33251,8,24,Violated
33252,21,63,Not-violated
33253,48,144,Not-violated
33254,-64,-192,Not-violated
33255,-1,-3,Not-violated
33256,-5,-15,Not-violated
33257,10,30,Violated
33258,-49,-147,Violated
33259,-2,-6,Not-violated
33260,8,24,Not-violated
33261,10,30,Not-violated
33262,-18,-54,Not-violated
33263,-15,-45,Not-violated
33264,-27,-81,Not-violated
33265,-49,-147,Not-violated
33266,-45,-135,Not-violated
33267,3,9,Violated
33268,-16,-48,Violated
33269,-30,-90,Violated
33270,19,57,Not-violated
33271,10,30,Violated
33272,25,75,Violated
33273,25,75,Not-violated
33274,-37,-111,Violated
33275,7,21,Not-violated
33276,-29,-87,Violated
33277,-22,-66,Violated
33278,-20,-60,Violated
33279,-16,-48,Violated
33280,-64,-192,Not-violated
33281,37,111,Violated
33282,-29,-87,Violated
33283,-51,-153,Not-violated
33284,-3,-9,Violated
33285,17,51,Not-violated
33286,-50,-150,Violated
33287,-26,-78,Violated
33288,-15,-45,Not-violated
33289,11,33,Not-violated
33290,-14,-42,Violated
33291,-62,-186,Violated
33292,-76,-228,Violated
33293,-34,-102,Violated
33294,-29,-87,Not-violated
33295,31,93,Violated
33296,-18,-54,Not-violated
33297,-29,-87,Not-violated
33298,55,165,Not-violated
33299,-28,-84,Violated
33300,9,27,Violated
33301,46,138,Not-violated
33302,-28,-84,Violated
33303,-9,-27,Not-violated
33304,12,36,Violated
33305,-30,-90,Violated
33306,33,99,Violated
33307,34,102,Not-violated
33308,2,6,Violated
33309,-10,-30,Violated
33310,-2,-6,Violated
33311,2,6,Not-violated
33312,-79,-237,Violated
33313,2,6,Not-violated
33314,-67,-201,Violated
33315,-31,-93,Not-violated
33316,21,63,Violated
33317,-25,-75,Not-violated
33318,15,45,Not-violated
33319,0,0,Not-violated
33320,14,42,Not-violated
33321,33,99,Violated
33322,-28,-84,Violated
33323,-78,-234,Violated
33324,-12,-36,Violated
33325,-27,-81,Violated
33326,-50,-150,Violated
33327,60,180,Not-violated
33328,11,33,Not-violated
33329,-42,-126,Violated
33330,27,81,Not-violated
33331,-16,-48,Violated
33332,19,57,Not-violated
33333,51,153,Not-violated
33334,6,18,Not-violated
33335,23,69,Not-violated
33336,18,54,Not-violated
33337,0,0,Violated
33338,49,147,Not-violated
33339,34,102,Violated
33340,-24,-72,Violated
33341,-29,-87,Violated
33342,4,12,Not-violated
33343,42,126,Not-violated
33344,-4,-12,Not-violated
33345,44,132,Not-violated
33346,45,135,Not-violated
33347,-5,-15,Not-violated
33348,6,18,Not-violated
33349,35,105,Violated
33350,37,111,Not-violated
33351,39,117,Violated
33352,-16,-48,Not-violated
33353,-20,-60,Not-violated
33354,38,114,Violated
33355,27,81,Not-violated
33356,-23,-69,Violated
33357,19,57,Not-violated
33358,-5,-15,Violated
33359,-19,-57,Violated
33360,1,3,Violated
33361,30,90,Not-violated
33362,7,21,Not-violated
33363,-3,-9,Violated
33364,5,15,Violated
33365,46,138,Not-violated
33366,-18,-54,Not-violated
33367,-9,-27,Not-violated
33368,-44,-132,Violated
33369,-28,-84,Not-violated
33370,37,111,Not-violated
33371,-38,-114,Not-violated
33372,-17,-51,Violated
33373,20,60,Not-violated
33374,-89,-267,Violated
33375,-37,-111,Violated
33376,24,72,Not-violated
33377,-32,-96,Violated
33378,83,249,Not-violated
33379,24,72,Not-violated
33380,11,33,Not-violated
33381,28,84,Violated
33382,7,21,Violated
33383,28,84,Not-violated
33384,9,27,Not-violated
33385,-10,-30,Not-violated
33386,17,51,Not-violated
33387,-3,-9,Not-violated
33388,-32,-96,Violated
33389,22,66,Violated
33390,32,96,Not-violated
33391,18,54,Violated
33392,12,36,Not-violated
33393,-24,-72,Violated
33394,-47,-141,Violated
33395,60,180,Not-violated
33396,32,96,Violated
33397,-37,-111,Violated
33398,-2,-6,Not-violated
33399,36,108,Not-violated
33400,-13,-39,Violated
33401,59,177,Not-violated
33402,55,165,Not-violated
33403,99,297,Not-violated
33404,57,171,Violated
33405,-68,-204,Violated
33406,-78,-234,Not-violated
33407,-32,-96,Violated
33408,-25,-75,Not-violated
33409,-35,-105,Violated
33410,-34,-102,Violated
33411,-25,-75,Violated
33412,-23,-69,Violated
33413,-5,-15,Violated
33414,32,96,Violated
33415,-61,-183,Violated
33416,22,66,Not-violated
33417,54,162,Violated
33418,39,117,Not-violated
33419,25,75,Not-violated
33420,52,156,Not-violated
33421,27,81,Not-violated
33422,38,114,Not-violated
33423,12,36,Violated
33424,-20,-60,Violated
33425,-15,-45,Violated
33426,11,33,Violated
33427,-56,-168,Violated
33428,56,168,Not-violated
33429,12,36,Not-violated
33430,-26,-78,Not-violated
33431,-56,-168,Not-violated
33432,-20,-60,Not-violated
33433,31,93,Not-violated
33434,-22,-66,Not-violated
33435,46,138,Not-violated
33436,-8,-24,Not-violated
33437,-29,-87,Violated
33438,34,102,Not-violated
33439,-23,-69,Violated
33440,57,171,Not-violated
33441,22,66,Not-violated
33442,-65,-195,Violated
33443,22,66,Not-violated
33444,-46,-138,Not-violated
33445,-40,-120,Violated
33446,-22,-66,Violated
33447,14,42,Violated
33448,-92,-276,Violated
33449,-37,-111,Not-violated
33450,9,27,Not-violated
33451,2,6,Violated
33452,-16,-48,Not-violated
33453,-48,-144,Violated
33454,-52,-156,Not-violated
33455,22,66,Violated
33456,44,132,Violated
33457,2,6,Not-violated
33458,-47,-141,Not-violated
33459,-37,-111,Not-violated
33460,-3,-9,Not-violated
33461,42,126,Not-violated
33462,-32,-96,Violated
33463,-9,-27,Not-violated
33464,16,48,Not-violated
33465,-9,-27,Violated
33466,-56,-168,Violated
33467,35,105,Violated
33468,-30,-90,Violated
33469,-34,-102,Not-violated
33470,22,66,Not-violated
33471,8,24,Violated
33472,-34,-102,Violated
33473,-42,-126,Violated
33474,71,213,Not-violated
33475,-23,-69,Violated
33476,-53,-159,Not-violated
33477,3,9,Not-violated
33478,-36,-108,Violated
33479,6,18,Violated
33480,-34,-102,Not-violated
33481,22,66,Not-violated
33482,73,219,Not-violated
33483,-6,-18,Not-violated
33484,-4,-12,Not-violated
33485,-4,-12,Not-violated
33486,14,42,Not-violated
33487,32,96,Not-violated
33488,-29,-87,Not-violated
33489,-30,-90,Violated
33490,6,18,Not-violated
33491,-1,-3,Violated
33492,-123,-369,Violated
33493,-6,-18,Not-violated
33494,-66,-198,Violated
33495,6,18,Not-violated
33496,-5,-15,Not-violated
33497,-6,-18,Not-violated
33498,-11,-33,Not-violated
33499,-63,-189,Violated
33500,-31,-93,Violated
33501,35,105,Not-violated
33502,-2,-6,Violated
33503,-41,-123,Violated
33504,-10,-30,Violated
33505,90,270,Not-violated
33506,-11,-33,Violated
33507,-15,-45,Violated
33508,-24,-72,Violated
33509,-40,-120,Not-violated
33510,14,42,Not-violated
33511,24,72,Violated
33512,45,135,Not-violated
33513,9,27,Not-violated
33514,37,111,Not-violated
33515,25,75,Not-violated
33516,-22,-66,Violated
33517,-7,-21,Violated
33518,34,102,Not-violated
33519,-43,-129,Not-violated
33520,-22,-66,Violated
33521,13,39,Not-violated
33522,21,63,Not-violated
33523,-32,-96,Violated
33524,49,147,Violated
33525,-41,-123,Violated
33526,-30,-90,Violated
33527,19,57,Not-violated
33528,26,78,Not-violated
33529,-22,-66,Violated
33530,-17,-51,Not-violated
33531,-3,-9,Violated
33532,-4,-12,Not-violated
33533,13,39,Not-violated
33534,32,96,Not-violated
33535,16,48,Not-violated
33536,-67,-201,Not-violated
33537,-2,-6,Violated
33538,-5,-15,Violated
33539,-30,-90,Violated
33540,-32,-96,Violated
33541,-28,-84,Violated
33542,-18,-54,Violated
33543,-56,-168,Violated
33544,-44,-132,Violated
33545,-45,-135,Violated
33546,6,18,Not-violated
33547,-56,-168,Violated
33548,32,96,Not-violated
33549,-15,-45,Violated
33550,0,0,Violated
33551,-29,-87,Not-violated
33552,-29,-87,Not-violated
33553,1,3,Violated
33554,30,90,Violated
33555,-38,-114,Violated
33556,-28,-84,Violated
33557,20,60,Not-violated
33558,-82,-246,Violated
33559,-4,-12,Not-violated
33560,-31,-93,Not-violated
33561,-95,-285,Not-violated
33562,-32,-96,Violated
33563,60,180,Violated
33564,7,21,Not-violated
33565,26,78,Not-violated
33566,-14,-42,Not-violated
33567,-16,-48,Violated
33568,45,135,Not-violated
33569,24,72,Not-violated
33570,1,3,Not-violated
33571,8,24,Not-violated
33572,-30,-90,Not-violated
33573,11,33,Violated
33574,26,78,Violated
33575,-10,-30,Not-violated
33576,2,6,Violated
33577,-10,-30,Violated
33578,12,36,Not-violated
33579,-27,-81,Violated
33580,11,33,Not-violated
33581,-58,-174,Violated
33582,56,168,Not-violated
33583,30,90,Violated
33584,-11,-33,Not-violated
33585,-58,-174,Not-violated
33586,36,108,Not-violated
33587,-13,-39,Violated
33588,40,120,Not-violated
33589,17,51,Violated
33590,42,126,Violated
33591,10,30,Violated
33592,44,132,Not-violated
33593,-22,-66,Not-violated
33594,-28,-84,Violated
33595,-12,-36,Violated
33596,54,162,Not-violated
33597,7,21,Violated
33598,-64,-192,Not-violated
33599,-19,-57,Not-violated
33600,66,198,Not-violated
33601,10,30,Not-violated
33602,39,117,Violated
33603,-39,-117,Violated
33604,46,138,Violated
33605,-61,-183,Violated
33606,10,30,Violated
33607,-10,-30,Violated
33608,2,6,Not-violated
33609,-47,-141,Not-violated
33610,-49,-147,Violated
33611,-41,-123,Violated
33612,-27,-81,Not-violated
33613,-20,-60,Not-violated
33614,33,99,Not-violated
33615,-60,-180,Violated
33616,14,42,Violated
33617,-9,-27,Not-violated
33618,53,159,Violated
33619,3,9,Violated
33620,7,21,Not-violated
33621,-1,-3,Not-violated
33622,-24,-72,Not-violated
33623,-30,-90,Not-violated
33624,18,54,Not-violated
33625,23,69,Not-violated
33626,-48,-144,Violated
33627,-25,-75,Violated
33628,-49,-147,Violated
33629,17,51,Violated
33630,2,6,Violated
33631,30,90,Not-violated
33632,42,126,Not-violated
33633,-47,-141,Not-violated
33634,-21,-63,Violated
33635,-90,-270,Not-violated
33636,25,75,Not-violated
33637,-71,-213,Violated
33638,-3,-9,Violated
33639,25,75,Not-violated
33640,-1,-3,Not-violated
33641,44,132,Violated
33642,-38,-114,Not-violated
33643,32,96,Not-violated
33644,-29,-87,Not-violated
33645,-8,-24,Violated
33646,49,147,Not-violated
33647,-19,-57,Not-violated
33648,-1,-3,Not-violated
33649,-43,-129,Not-violated
33650,28,84,Not-violated
33651,-8,-24,Violated
33652,-63,-189,Violated
33653,-24,-72,Not-violated
33654,-12,-36,Not-violated
33655,-4,-12,Violated
33656,0,0,Not-violated
33657,9,27,Not-violated
33658,-49,-147,Violated
33659,69,207,Not-violated
33660,18,54,Not-violated
33661,7,21,Violated
33662,-49,-147,Violated
33663,-12,-36,Violated
33664,-21,-63,Violated
33665,-54,-162,Violated
33666,-36,-108,Not-violated
33667,53,159,Not-violated
33668,-11,-33,Not-violated
33669,33,99,Violated
33670,-21,-63,Violated
33671,-14,-42,Not-violated
33672,14,42,Violated
33673,55,165,Violated
33674,21,63,Violated
33675,29,87,Not-violated
33676,10,30,Not-violated
33677,-30,-90,Violated
33678,-52,-156,Not-violated
33679,82,246,Not-violated
33680,-30,-90,Violated
33681,-16,-48,Violated
33682,29,87,Violated
33683,-26,-78,Violated
33684,2,6,Not-violated
33685,-9,-27,Not-violated
33686,-18,-54,Not-violated
33687,-15,-45,Violated
33688,-47,-141,Violated
33689,-31,-93,Not-violated
33690,51,153,Violated
33691,-19,-57,Not-violated
33692,16,48,Not-violated
33693,21,63,Not-violated
33694,3,9,Not-violated
33695,5,15,Not-violated
33696,39,117,Not-violated
33697,-16,-48,Not-violated
33698,27,81,Not-violated
33699,9,27,Not-violated
33700,-17,-51,Not-violated
33701,-11,-33,Not-violated
33702,-39,-117,Violated
33703,37,111,Not-violated
33704,-66,-198,Violated
33705,72,216,Not-violated
33706,-21,-63,Not-violated
33707,10,30,Not-violated
33708,-44,-132,Violated
33709,-11,-33,Violated
33710,4,12,Violated
33711,-34,-102,Violated
33712,-14,-42,Violated
33713,13,39,Not-violated
33714,16,48,Violated
33715,44,132,Not-violated
33716,-19,-57,Violated
33717,27,81,Not-violated
33718,-34,-102,Violated
33719,20,60,Violated
33720,-47,-141,Violated
33721,5,15,Violated
33722,-8,-24,Not-violated
33723,-1,-3,Not-violated
33724,-21,-63,Violated
33725,25,75,Not-violated
33726,-33,-99,Violated
33727,12,36,Not-violated
33728,-42,-126,Violated
33729,-28,-84,Not-violated
33730,-24,-72,Violated
33731,22,66,Not-violated
33732,-31,-93,Violated
33733,-9,-27,Violated
33734,60,180,Not-violated
33735,32,96,Violated
33736,-20,-60,Not-violated
33737,-7,-21,Violated
33738,-7,-21,Violated
33739,14,42,Not-violated
33740,-2,-6,Violated
33741,34,102,Not-violated
33742,-34,-102,Violated
33743,-64,-192,Violated
33744,-28,-84,Not-violated
33745,12,36,Violated
33746,-72,-216,Violated
33747,65,195,Not-violated
33748,15,45,Not-violated
33749,-21,-63,Violated
33750,8,24,Not-violated
33751,-55,-165,Violated
33752,12,36,Not-violated
33753,-27,-81,Violated
33754,-9,-27,Violated
33755,-70,-210,Violated
33756,-41,-123,Violated
33757,-29,-87,Violated
33758,-55,-165,Violated
33759,58,174,Not-violated
33760,-23,-69,Violated
33761,-39,-117,Violated
33762,11,33,Not-violated
33763,47,141,Not-violated
33764,-14,-42,Violated
33765,-52,-156,Violated
33766,32,96,Not-violated
33767,-44,-132,Violated
33768,-11,-33,Not-violated
33769,-46,-138,Violated
33770,18,54,Violated
33771,14,42,Violated
33772,-44,-132,Violated
33773,75,225,Not-violated
33774,-4,-12,Violated
33775,6,18,Violated
33776,38,114,Violated
33777,-6,-18,Violated
33778,-46,-138,Not-violated
33779,20,60,Not-violated
33780,60,180,Violated
33781,-5,-15,Not-violated
33782,9,27,Not-violated
33783,-1,-3,Not-violated
33784,38,114,Not-violated
33785,-15,-45,Not-violated
33786,-88,-264,Not-violated
33787,7,21,Violated
33788,24,72,Violated
33789,-58,-174,Violated
33790,-20,-60,Violated
33791,-9,-27,Violated
33792,-8,-24,Violated
33793,28,84,Not-violated
33794,-11,-33,Not-violated
33795,-35,-105,Not-violated
33796,-36,-108,Violated
33797,-13,-39,Not-violated
33798,18,54,Violated
33799,-22,-66,Violated
33800,-15,-45,Not-violated
33801,-4,-12,Violated
33802,-21,-63,Not-violated
33803,38,114,Not-violated
33804,15,45,Violated
33805,-26,-78,Violated
33806,11,33,Violated
33807,50,150,Not-violated
33808,-6,-18,Violated
33809,52,156,Not-violated
33810,-11,-33,Violated
33811,-35,-105,Violated
33812,-10,-30,Not-violated
33813,23,69,Not-violated
33814,-5,-15,Not-violated
33815,20,60,Not-violated
33816,1,3,Not-violated
33817,-11,-33,Not-violated
33818,-57,-171,Not-violated
33819,3,9,Violated
33820,3,9,Not-violated
33821,-8,-24,Violated
33822,7,21,Violated
33823,12,36,Not-violated
33824,56,168,Violated
33825,-23,-69,Not-violated
33826,27,81,Violated
33827,12,36,Not-violated
33828,14,42,Not-violated
33829,16,48,Violated
33830,103,309,Not-violated
33831,9,27,Not-violated
33832,-30,-90,Violated
33833,-48,-144,Violated
33834,83,249,Not-violated
33835,-3,-9,Violated
33836,-77,-231,Violated
33837,8,24,Not-violated
33838,26,78,Not-violated
33839,-23,-69,Violated
33840,18,54,Violated
33841,-5,-15,Violated
33842,-35,-105,Not-violated
33843,50,150,Violated
33844,9,27,Violated
33845,30,90,Not-violated
33846,-31,-93,Violated
33847,5,15,Not-violated
33848,10,30,Not-violated
33849,61,183,Not-violated
33850,36,108,Not-violated
33851,-6,-18,Not-violated
33852,-8,-24,Violated
33853,-17,-51,Not-violated
33854,25,75,Not-violated
33855,-34,-102,Not-violated
33856,-27,-81,Violated
33857,-32,-96,Violated
33858,7,21,Not-violated
33859,56,168,Violated
33860,-46,-138,Violated
33861,13,39,Not-violated
33862,10,30,Violated
33863,-76,-228,Violated
33864,11,33,Violated
33865,-1,-3,Not-violated
33866,-23,-69,Violated
33867,-36,-108,Not-violated
33868,7,21,Not-violated
33869,3,9,Not-violated
33870,4,12,Not-violated
33871,-25,-75,Violated
33872,41,123,Not-violated
33873,18,54,Violated
33874,31,93,Not-violated
33875,30,90,Violated
33876,5,15,Violated
33877,23,69,Violated
33878,-2,-6,Not-violated
33879,-9,-27,Violated
33880,4,12,Violated
33881,22,66,Not-violated
33882,91,273,Not-violated
33883,-53,-159,Not-violated
33884,75,225,Not-violated
33885,-54,-162,Violated
33886,19,57,Violated
33887,33,99,Violated
33888,19,57,Not-violated
33889,15,45,Not-violated
33890,41,123,Not-violated
33891,57,171,Not-violated
33892,-26,-78,Not-violated
33893,-1,-3,Violated
33894,-9,-27,Not-violated
33895,-25,-75,Not-violated
33896,33,99,Not-violated
33897,-55,-165,Violated
33898,38,114,Not-violated
33899,-15,-45,Violated
33900,34,102,Not-violated
33901,24,72,Not-violated
33902,54,162,Not-violated
33903,18,54,Violated
33904,0,0,Not-violated
33905,19,57,Not-violated
33906,7,21,Not-violated
33907,2,6,Not-violated
33908,-29,-87,Violated
33909,-50,-150,Not-violated
33910,-91,-273,Violated
33911,-30,-90,Violated
33912,9,27,Violated
33913,74,222,Not-violated
33914,-83,-249,Violated
33915,29,87,Not-violated
33916,-18,-54,Violated
33917,-22,-66,Not-violated
33918,25,75,Not-violated
33919,14,42,Violated
33920,27,81,Violated
33921,-3,-9,Not-violated
33922,-11,-33,Violated
33923,9,27,Not-violated
33924,12,36,Not-violated
33925,-13,-39,Not-violated
33926,-47,-141,Violated
33927,-15,-45,Not-violated
33928,5,15,Not-violated
33929,-24,-72,Violated
33930,-20,-60,Violated
33931,-63,-189,Violated
33932,-87,-261,Violated
33933,-27,-81,Violated
33934,9,27,Not-violated
33935,-5,-15,Violated
33936,16,48,Not-violated
33937,-56,-168,Violated
33938,-4,-12,Violated
33939,-11,-33,Not-violated
33940,-23,-69,Violated
33941,-31,-93,Violated
33942,81,243,Not-violated
33943,26,78,Not-violated
33944,28,84,Not-violated
33945,14,42,Not-violated
33946,8,24,Not-violated
33947,11,33,Violated
33948,15,45,Not-violated
33949,14,42,Not-violated
33950,-48,-144,Violated
33951,45,135,Not-violated
33952,-18,-54,Not-violated
33953,34,102,Not-violated
33954,-9,-27,Not-violated
33955,27,81,Violated
33956,-43,-129,Violated
33957,-35,-105,Not-violated
33958,-32,-96,Not-violated
33959,12,36,Violated
33960,17,51,Not-violated
33961,-6,-18,Not-violated
33962,-13,-39,Violated
33963,-6,-18,Violated
33964,-20,-60,Not-violated
33965,-6,-18,Not-violated
33966,-86,-258,Violated
33967,-10,-30,Not-violated
33968,-37,-111,Violated
33969,-79,-237,Violated
33970,-16,-48,Violated
33971,-14,-42,Violated
33972,0,0,Violated
33973,6,18,Violated
33974,10,30,Violated
33975,36,108,Not-violated
33976,6,18,Violated
33977,18,54,Not-violated
33978,-61,-183,Not-violated
33979,-8,-24,Violated
33980,50,150,Not-violated
33981,38,114,Not-violated
33982,18,54,Violated
33983,18,54,Violated
33984,52,156,Not-violated
33985,17,51,Not-violated
33986,4,12,Not-violated
33987,-53,-159,Not-violated
33988,-32,-96,Violated
33989,-3,-9,Violated
33990,29,87,Not-violated
33991,-20,-60,Violated
33992,-36,-108,Violated
33993,-3,-9,Violated
33994,-24,-72,Not-violated
33995,-21,-63,Not-violated
33996,-9,-27,Violated
33997,-9,-27,Not-violated
33998,70,210,Not-violated
33999,-9,-27,Violated
34000,-21,-63,Violated
34001,29,87,Violated
34002,41,123,Not-violated
34003,-16,-48,Violated
34004,11,33,Not-violated
34005,-51,-153,Violated
34006,-8,-24,Not-violated
34007,40,120,Not-violated
34008,-43,-129,Violated
34009,-14,-42,Violated
34010,-34,-102,Not-violated
34011,-9,-27,Not-violated
34012,-56,-168,Violated
34013,-24,-72,Violated
34014,33,99,Violated
34015,0,0,Violated
34016,-9,-27,Not-violated
34017,33,99,Violated
34018,-45,-135,Not-violated
34019,20,60,Not-violated
34020,15,45,Violated
34021,4,12,Not-violated
34022,-13,-39,Not-violated
34023,28,84,Not-violated
34024,77,231,Not-violated
34025,19,57,Not-violated
34026,-59,-177,Violated
34027,40,120,Not-violated
34028,30,90,Not-violated
34029,16,48,Violated
34030,-24,-72,Violated
34031,2,6,Not-violated
34032,3,9,Not-violated
34033,-56,-168,Not-violated
34034,-15,-45,Violated
34035,20,60,Not-violated
34036,-21,-63,Not-violated
34037,7,21,Not-violated
34038,-51,-153,Violated
34039,85,255,Not-violated
34040,-20,-60,Violated
34041,-23,-69,Violated
34042,-1,-3,Not-violated
34043,-8,-24,Not-violated
34044,81,243,Not-violated
34045,-32,-96,Violated
34046,-4,-12,Violated
34047,-1,-3,Violated
34048,52,156,Violated
34049,47,141,Not-violated
34050,-13,-39,Not-violated
34051,20,60,Violated
34052,-13,-39,Not-violated
34053,29,87,Violated
34054,-32,-96,Not-violated
34055,-19,-57,Not-violated
34056,22,66,Not-violated
34057,-29,-87,Not-violated
34058,32,96,Not-violated
34059,30,90,Not-violated
34060,32,96,Not-violated
34061,-25,-75,Violated
34062,-11,-33,Violated
34063,-24,-72,Not-violated
34064,-18,-54,Not-violated
34065,-19,-57,Violated
34066,26,78,Violated
34067,17,51,Violated
34068,-103,-309,Violated
34069,-10,-30,Violated
34070,-5,-15,Violated
34071,-26,-78,Not-violated
34072,16,48,Not-violated
34073,12,36,Not-violated
34074,0,0,Not-violated
34075,-1,-3,Not-violated
34076,-33,-99,Violated
34077,-58,-174,Not-violated
34078,-18,-54,Violated
34079,10,30,Not-violated
34080,4,12,Violated
34081,-16,-48,Violated
34082,-21,-63,Violated
34083,-22,-66,Not-violated
34084,54,162,Not-violated
34085,16,48,Violated
34086,-35,-105,Violated
34087,19,57,Violated
34088,3,9,Not-violated
34089,-13,-39,Not-violated
34090,-45,-135,Not-violated
34091,0,0,Violated
34092,19,57,Not-violated
34093,6,18,Not-violated
34094,-54,-162,Violated
34095,-2,-6,Violated
34096,-1,-3,Not-violated
34097,-41,-123,Violated
34098,28,84,Violated
34099,3,9,Not-violated
34100,68,204,Violated
34101,47,141,Not-violated
34102,26,78,Not-violated
34103,11,33,Violated
34104,-34,-102,Violated
34105,-43,-129,Violated
34106,-1,-3,Not-violated
34107,23,69,Not-violated
34108,34,102,Violated
34109,-28,-84,Violated
34110,-50,-150,Violated
34111,-6,-18,Violated
34112,-12,-36,Violated
34113,40,120,Violated
34114,37,111,Violated
34115,31,93,Not-violated
34116,-10,-30,Violated
34117,-33,-99,Not-violated
34118,-28,-84,Not-violated
34119,6,18,Violated
34120,-80,-240,Not-violated
34121,-7,-21,Violated
34122,-17,-51,Violated
34123,3,9,Violated
34124,-74,-222,Violated
34125,-35,-105,Violated
34126,11,33,Not-violated
34127,21,63,Not-violated
34128,36,108,Not-violated
34129,-39,-117,Violated
34130,7,21,Violated
34131,-32,-96,Not-violated
34132,-63,-189,Violated
34133,-2,-6,Violated
34134,-18,-54,Violated
34135,-29,-87,Violated
34136,-14,-42,Not-violated
34137,-27,-81,Not-violated
34138,41,123,Violated
34139,39,117,Not-violated
34140,47,141,Not-violated
34141,48,144,Not-violated
34142,-9,-27,Violated
34143,-37,-111,Not-violated
34144,23,69,Violated
34145,-41,-123,Violated
34146,15,45,Not-violated
34147,40,120,Violated
34148,82,246,Not-violated
34149,-36,-108,Not-violated
34150,36,108,Not-violated
34151,-44,-132,Violated
34152,-34,-102,Violated
34153,-16,-48,Not-violated
34154,-13,-39,Not-violated
34155,-4,-12,Not-violated
34156,-111,-333,Violated
34157,57,171,Violated
34158,5,15,Not-violated
34159,-10,-30,Not-violated
34160,-23,-69,Violated
34161,6,18,Violated
34162,24,72,Violated
34163,11,33,Not-violated
34164,27,81,Violated
34165,28,84,Not-violated
34166,57,171,Not-violated
34167,-11,-33,Violated
34168,-35,-105,Not-violated
34169,22,66,Not-violated
34170,3,9,Violated
34171,-44,-132,Violated
34172,-51,-153,Violated
34173,-53,-159,Violated
34174,-57,-171,Violated
34175,-27,-81,Violated
34176,-5,-15,Not-violated
34177,-21,-63,Not-violated
34178,22,66,Not-violated
34179,36,108,Not-violated
34180,-44,-132,Violated
34181,23,69,Violated
34182,25,75,Not-violated
34183,-13,-39,Not-violated
34184,11,33,Not-violated
34185,-13,-39,Violated
34186,-17,-51,Not-violated
34187,-54,-162,Violated
34188,3,9,Violated
34189,-22,-66,Not-violated
34190,-15,-45,Violated
34191,-2,-6,Violated
34192,-27,-81,Not-violated
34193,38,114,Violated
34194,-60,-180,Not-violated
34195,7,21,Violated
34196,-12,-36,Not-violated
34197,21,63,Violated
34198,36,108,Not-violated
34199,10,30,Not-violated
34200,46,138,Not-violated
34201,72,216,Not-violated
34202,-29,-87,Violated
34203,-30,-90,Violated
34204,-10,-30,Violated
34205,42,126,Not-violated
34206,30,90,Not-violated
34207,-39,-117,Violated
34208,39,117,Violated
34209,-27,-81,Not-violated
34210,-59,-177,Violated
34211,11,33,Not-violated
34212,6,18,Not-violated
34213,-10,-30,Violated
34214,-28,-84,Not-violated
34215,-67,-201,Not-violated
34216,2,6,Not-violated
34217,22,66,Violated
34218,-12,-36,Violated
34219,51,153,Not-violated
34220,-13,-39,Violated
34221,33,99,Not-violated
34222,-25,-75,Violated
34223,-31,-93,Violated
34224,-29,-87,Violated
34225,13,39,Not-violated
34226,-39,-117,Violated
34227,-41,-123,Violated
34228,-21,-63,Not-violated
34229,-44,-132,Not-violated
34230,-45,-135,Violated
34231,16,48,Not-violated
34232,-6,-18,Not-violated
34233,17,51,Violated
34234,-17,-51,Not-violated
34235,38,114,Not-violated
34236,-29,-87,Violated
34237,10,30,Violated
34238,2,6,Not-violated
34239,-43,-129,Not-violated
34240,2,6,Violated
34241,-29,-87,Violated
34242,13,39,Violated
34243,-23,-69,Violated
34244,-18,-54,Violated
34245,-49,-147,Violated
34246,12,36,Violated
34247,-8,-24,Not-violated
34248,-22,-66,Not-violated
34249,21,63,Not-violated
34250,33,99,Not-violated
34251,9,27,Not-violated
34252,5,15,Not-violated
34253,-66,-198,Violated
34254,-30,-90,Not-violated
34255,6,18,Not-violated
34256,0,0,Not-violated
34257,33,99,Not-violated
34258,-41,-123,Not-violated
34259,13,39,Violated
34260,-11,-33,Violated
34261,7,21,Not-violated
34262,-60,-180,Violated
34263,15,45,Not-violated
34264,23,69,Not-violated
34265,-11,-33,Violated
34266,28,84,Violated
34267,-40,-120,Not-violated
34268,26,78,Not-violated
34269,2,6,Not-violated
34270,23,69,Violated
34271,64,192,Not-violated
34272,-42,-126,Violated
34273,28,84,Not-violated
34274,-44,-132,Violated
34275,-61,-183,Violated
34276,-76,-228,Violated
34277,-63,-189,Violated
34278,5,15,Violated
34279,-33,-99,Not-violated
34280,-47,-141,Violated
34281,68,204,Not-violated
34282,-33,-99,Violated
34283,59,177,Not-violated
34284,-6,-18,Not-violated
34285,-5,-15,Violated
34286,29,87,Violated
34287,21,63,Violated
34288,55,165,Not-violated
34289,9,27,Violated
34290,-19,-57,Not-violated
34291,-9,-27,Violated
34292,-1,-3,Not-violated
34293,-13,-39,Not-violated
34294,-15,-45,Not-violated
34295,-39,-117,Violated
